"Дата i час операції","Деталі операції",MCC,"Сума в валюті картки (UAH)","Сума в валюті операції",Валюта,Курс,"Сума комісій (UAH)","Сума кешбеку (UAH)","Залишок після операції"
"24.11.2025 10:08:42",VARUS,5411,-58.6,-58.6,UAH,—,—,0.58,4263.91
"24.11.2025 09:45:36","З гривневого рахунку ФОП",4829,4210.0,4210.0,UAH,—,—,—,4322.51
"24.11.2025 09:45:19","Dark coffee",5814,-121.0,-121.0,UAH,—,—,—,112.51
"23.11.2025 19:20:19",PROSTOR,5977,-435.1,-435.1,UAH,—,—,—,233.51
"23.11.2025 17:58:31",ROSHEN,5441,-56.74,-56.74,UAH,—,—,0.56,668.61
"23.11.2025 17:08:01","Ramenna Red Monkey",5814,-715.0,-715.0,UAH,—,—,—,725.35
"23.11.2025 12:56:03","WATERVENDING MIRIADA",5814,-37.0,-37.0,UAH,—,—,—,1440.35
"23.11.2025 11:59:03",Phone,5399,-50.0,-50.0,UAH,—,—,0.5,1477.35
"23.11.2025 11:57:51",NEROESSPRESO,5812,-40.0,-40.0,UAH,—,—,—,1527.35
"22.11.2025 18:52:14","HOP HEY",5921,-220.7,-220.7,UAH,—,—,2.2,1567.35
"22.11.2025 18:48:59","462705****3077",4829,-160.0,-160.0,UAH,—,—,—,1788.05
"22.11.2025 18:47:04",Петриківка,5499,-617.02,-617.02,UAH,—,—,6.17,1948.05
"22.11.2025 18:40:56",VARUS,5411,-47.2,-47.2,UAH,—,—,0.47,2565.07
"22.11.2025 17:44:47",Копійочка,5399,-165.0,-165.0,UAH,—,—,1.65,2612.27
"22.11.2025 17:17:39","FOP Serdyuk",7399,-12.0,-12.0,UAH,—,—,—,2777.27
"22.11.2025 16:01:22",McDonald’s,5814,-708.0,-708.0,UAH,—,—,—,2789.27
"22.11.2025 11:03:03","BULOCHKA Z PROVULOCHKA",5441,-70.0,-70.0,UAH,—,—,0.7,3497.27
"21.11.2025 20:35:34","funduk miriada",5499,-460.0,-460.0,UAH,—,—,4.6,3567.27
"21.11.2025 20:33:14",VARUS,5411,-53.5,-53.5,UAH,—,—,0.53,4027.27
"21.11.2025 10:05:09",VARUS,5411,-39.6,-39.6,UAH,—,—,0.39,4080.77
"21.11.2025 09:43:14",NEROESSPRESO,5812,-40.0,-40.0,UAH,—,—,—,4120.37
"20.11.2025 22:11:01","новая карта бати",4829,-904.52,-904.52,UAH,—,—,—,4160.37
"20.11.2025 22:10:32","Київстар +380675798881",4814,-600.0,-600.0,UAH,—,—,—,5064.89
"20.11.2025 22:10:28","З гривневого рахунку ФОП",4829,4195.0,4195.0,UAH,—,—,—,5664.89
"20.11.2025 20:03:52","HOP HEY",5921,-74.7,-74.7,UAH,—,—,0.74,1469.89
"20.11.2025 20:00:49","funduk miriada",5499,-130.0,-130.0,UAH,—,—,1.3,1544.59
"20.11.2025 19:58:03",VARUS,5411,-304.59,-304.59,UAH,—,—,3.04,1674.59
"20.11.2025 10:43:44","Переказ на картку",4829,-1000.0,-1000.0,UAH,—,—,—,1979.18
"20.11.2025 10:42:14",NEROESSPRESO,5812,-40.0,-40.0,UAH,—,—,—,2979.18
"20.11.2025 10:23:55","Юля (англ)",4829,-700.0,-700.0,UAH,—,—,—,3019.18
"19.11.2025 20:14:27","funduk miriada",5499,-215.0,-215.0,UAH,—,—,2.15,3719.18
"19.11.2025 20:11:13","funduk miriada",5499,-150.0,-150.0,UAH,—,—,1.5,3934.18
"19.11.2025 20:09:10","HOP HEY",5921,-132.6,-132.6,UAH,—,—,1.32,4084.18
"19.11.2025 20:03:37","З гривневого рахунку ФОП",4829,4185.0,4185.0,UAH,—,—,—,4216.78
"19.11.2025 20:03:26",АТБ,5411,-456.9,-456.9,UAH,—,—,4.56,31.78
"19.11.2025 10:20:22",VARUS,5411,-63.8,-63.8,UAH,—,—,0.63,488.68
"18.11.2025 18:44:57","HOP HEY",5921,-170.5,-170.5,UAH,—,—,1.7,552.48
